cluster 0 gene,cluster 0 score,cluster 1 gene,cluster 1 score,cluster 2 gene,cluster 2 score,cluster 3 gene,cluster 3 score,cluster 4 gene,cluster 4 score,cluster 5 gene,cluster 5 score
Cux1,-0.16557483,Hnrnpa3,0.24925977,BC005624,-0.269672,Srrm2,0.81111807,Sort1,-0.7834125,Ankfy1,-0.044272553
Arhgef17,-0.16912371,Mdn1,0.24818136,Zyx,-0.27094296,Ifrd1,0.8110508,Mlxip,-0.7835732,Cdc37l1,-0.044310655
Med27,-0.1700403,Dcun1d3,0.24593997,Ap1s1,-0.2712896,Tbce,0.8102265,Mta3,-0.783766,Fam53b,-0.044348754
Cacna1a,-0.1709334,Zranb3,0.24568623,Cgn,-0.27273384,Eml1,0.8066265,Clk2,-0.7850995,Adgrl3,-0.044729758
Ppig,-0.17163847,Cpq,0.24188009,Dennd1a,-0.2727916,Bdp1,0.8061891,Ahctf1,-0.78977484,Hnrnpll,-0.04526316
Dhx32,-0.17243755,Ipo5,0.2411823,Pecr,-0.27342707,Tnpo3,0.80475926,Rictor,-0.7908834,Rc3h1,-0.045453664
Pkd2,-0.17326014,Cnot7,0.23906778,Tbc1d23,-0.27435142,Pds5b,0.804692,Fam193a,-0.79142964,Camk2d,-0.04732058
Sacm1l,-0.17563389,Nfrkb,0.23889862,Mtf1,-0.27435142,H2afy2,0.8046583,Adgrl3,-0.79281133,Atg16l1,-0.047892082
Chn1,-0.17629196,Pabpc4,0.23843342,Luc7l2,-0.27481356,Tank,0.8043387,Usp40,-0.7936307,Ube3b,-0.048539788
Vti1a,-0.17784312,Lmf1,0.2376299,Hsf2,-0.2751602,Itch,0.8023873,Dcaf13,-0.7949321,Wac,-0.0497971
Adgra3,-0.17911226,Cacnb2,0.23712242,Vangl1,-0.2759112,Camk2d,0.8003014,Wdr75,-0.79649055,Ubr1,-0.049835198
Lin52,-0.181439,Cdk13,0.23094802,Nras,-0.2762578,Crem,0.7958771,Phf12,-0.80142295,Sltm,-0.0498733
Cep162,-0.1834132,Golga1,0.22919296,Ctc1,-0.2763156,Pef1,0.7955911,Tulp3,-0.803849,Eif4ebp2,-0.050521005
Rsph3a,-0.18475284,Gtf2b,0.22906609,Plp2,-0.27827978,Rabgef1,0.7933201,Senp1,-0.80389714,Pias4,-0.050902005
Usp46,-0.18494086,1110037F02Rik,0.22764936,Fryl,-0.2784531,Cwf19l2,0.79249585,Polr1d,-0.8047808,Enox2,-0.050978206
Lsm7,-0.18604547,Atxn7,0.22627492,4931406P16Rik,-0.2784531,Lrch3,0.7910996,Usp19,-0.808219,Pde10a,-0.051892616
Ccdc117,-0.18707958,Coil,0.22625378,Uqcrc2,-0.27891526,Btf3l4,0.7876847,Mkl2,-0.80980957,Ttc7b,-0.052426018
Btrc,-0.18844272,St3gal3,0.22392781,Zfp609,-0.2792041,Ndufb5,0.7876006,Stx7,-0.8100506,Pacs2,-0.053035624
Cd99l2,-0.19088699,Arhgap39,0.22380093,Dnajc17,-0.2803595,Ralgapa2,0.7831595,Fam53a,-0.8108057,Carm1,-0.053569026
Ccdc30,-0.1910045,Pitpna,0.22361062,Cep112,-0.2813994,Ylpm1,0.78201556,Ryk,-0.81244445,Dnajb6,-0.054673936
Trim62,-0.19250865,Foxn3,0.22177099,Tmem65,-0.28145716,Dnm1l,0.7809726,Fbxo16,-0.812814,Clpb,-0.05513114
Snd1,-0.19302571,Chchd1,0.21773227,Gna13,-0.28163046,Mphosph9,0.7761278,Xpa,-0.81459737,Fbxw11,-0.05513114
Ccser2,-0.19434184,Usp29,0.21650584,Polr2a,-0.281746,Hmg20a,0.77200633,1110051M20Rik,-0.8167181,Cpq,-0.056312248
Osbp,-0.19612803,St7l,0.21631552,Anks1,-0.2819771,Arfgef1,0.76793534,2900076A07Rik,-0.81837296,Epcam,-0.05638845
Rnf149,-0.19716214,Mlxip,0.21576576,Fto,-0.28220817,Ankhd1,0.7665896,Ywhab,-0.8194494,Hook2,-0.056655154
Dpf2,-0.19866629,Csnk1g2,0.21464506,Slco3a1,-0.28319028,Zfp282,0.7653111,Nck2,-0.81946546,Abca3,-0.056959953
Sirt6,-0.19988842,Dhx40,0.21458162,Ttc4,-0.28365242,Maea,0.7645036,Ap1m2,-0.82139343,Leng1,-0.05745526
Rnf169,-0.20336679,Usp14,0.21136755,Gpatch1,-0.2840568,Ror1,0.7600626,Mrpl45,-0.8234499,Tmem175,-0.05749336
Clk4,-0.20414238,2700029M09Rik,0.21011998,Ank2,-0.2840568,Kcmf1,0.75612617,Dnajb14,-0.8245585,Uxs1,-0.05753146
Cep104,-0.20423637,Tox,0.2096125,Exoc4,-0.28417236,Mtor,0.7532664,Ift52,-0.82602054,Eif3d,-0.05764576
Btbd10,-0.2044009,Fam171a1,0.20874554,Vprbp,-0.284519,Timmdc1,0.75033927,Rnf185,-0.8296194,Sgta,-0.058064863
Ercc6l2,-0.20470643,Tmem80,0.20527773,Pi4k2b,-0.284519,Zfx,0.74816924,Nipal2,-0.83069587,Bphl,-0.058522068
Uqcrq,-0.20510598,Ikbkap,0.20464337,Psmd13,-0.28480783,Lmbrd1,0.74456924,Prrc2c,-0.83161163,Ranbp3,-0.058560167
Zc3h12c,-0.2063281,Cog8,0.20276144,Dmd,-0.28498116,Clk4,0.7426179,Morn1,-0.8331701,Atl3,-0.059436474
Rcan1,-0.20668064,Dpp8,0.20235969,Mvb12a,-0.28532776,Tmem218,0.738345,Fam73a,-0.83376455,Eif4a3,-0.059588876
Itfg2,-0.20693916,Uty,0.20229626,Ptch1,-0.28613657,A230046K03Rik,0.73741984,Ern1,-0.83477676,Nespas,-0.05989368
Ccng1,-0.20757373,Nkap,0.20174648,Chrm3,-0.2864254,Ppp2r2b,0.7369488,Gcc2,-0.8372027,Hibch,-0.060274683
Larp1b,-0.20834932,Lztr1,0.20130242,Atg16l1,-0.28677204,Hsd17b11,0.7353675,Ncbp1,-0.83978945,Psma4,-0.06042708
Brms1l,-0.20837282,Gm26760,0.20064692,Ngly1,-0.28717643,Zyx,0.7344086,Csnk2a2,-0.84189415,Phlpp1,-0.060579482
Capn15,-0.20837282,Chchd3,0.20013945,Amn1,-0.2879852,Dixdc1,0.7336348,Sympk,-0.84231186,Vkorc1l1,-0.060655683
Map3k7,-0.20896037,Psmc1,0.1998434,Wbscr27,-0.28804296,Bahcc1,0.73289466,C2cd3,-0.8440631,Gpatch8,-0.061646294
Hdac8,-0.2091954,Nars2,0.19925134,Tm2d1,-0.28966054,Atp5h,0.72502184,Tom1l2,-0.8453002,Myg1,-0.06179869
Usp53,-0.20933641,Phactr4,0.19846897,Herc4,-0.29000717,Orc3,0.7243321,Cpeb4,-0.8488348,Pafah1b3,-0.06179869
Dync1li1,-0.2120627,Med1,0.19764431,Trio,-0.29029602,Pbx2,0.72280127,Ube2h,-0.8498952,Hnrnpa2b1,-0.062141597
Pdhb,-0.21363737,4921524J17Rik,0.19758087,Trappc9,-0.2907582,Lace1,0.7217583,Cklf,-0.8506182,Nfxl1,-0.063017905
Rnf185,-0.21431893,Ascc2,0.19758087,Arhgef18,-0.29081595,Gabpb1,0.7160219,Plcl2,-0.8513733,Prkar2a,-0.063017905
Abi1,-0.21462446,Irf3,0.19671391,Zfp141,-0.29098928,Itfg2,0.71595466,Gtf2ird1,-0.8527229,Skp1a,-0.06381801
Rab3ip,-0.21485949,Atg4b,0.1965659,Slc25a36,-0.29127812,Acaca,0.7133135,Rsbn1l,-0.8527389,Bckdk,-0.064694315
Trim46,-0.2158466,Ppil2,0.196143,Pex14,-0.29174027,Usp48,0.71247244,5730559C18Rik,-0.8541207,Kif19a,-0.06553252
Pds5a,-0.21659867,Esrp1,0.19457825,Rbm34,-0.29237574,Dcaf10,0.7094949,Arhgef18,-0.8542331,Prrc2a,-0.06644693
Erbb2ip,-0.2169277,Nipsnap1,0.19449367,Atp6v1d,-0.29260683,Shprh,0.70401084,Ttc4,-0.85685194,Crebbp,-0.06656123
Pmpca,-0.21836136,Fam76b,0.19369015,Cr1l,-0.293069,Cand1,0.7036744,Cdh6,-0.8573821,Cog5,-0.066904135
1110004E09Rik,-0.22040607,Ube4b,0.19314037,Diaph2,-0.2933001,Fbxo28,0.703523,Terf2,-0.85842645,Hbs1l,-0.06762804
Ccdc77,-0.22193374,Golga7,0.19314037,Cnot6,-0.29393557,Parg,0.6995866,Babam1,-0.8603062,Sdk1,-0.06762804
Asap1,-0.22470702,Nfatc3,0.19267519,Large,-0.29416662,Ttc17,0.69805574,Nsrp1,-0.860499,Git2,-0.06804714
1110008L16Rik,-0.22498906,Atp9b,0.19197738,Tmem164,-0.29416662,Sgpp2,0.6965249,Klhl12,-0.8608846,Brwd3,-0.06869485
Macf1,-0.22588214,B4galt6,0.19185051,Limch1,-0.29526427,Vps13a,0.69373244,Ppwd1,-0.86220205,Csnk2a2,-0.07124757
Cntrl,-0.22675173,Nek9,0.19168136,Chn2,-0.29526427,Rnf13,0.69147825,Gatad1,-0.86443526,Slc18a1,-0.07139997
Pgap2,-0.2273863,Hbs1l,0.19117387,Nol4,-0.29641968,Araf,0.69093996,Rmnd5a,-0.8656081,Ppp3ca,-0.07330499
Lars,-0.23201628,Kremen1,0.18785407,Tpd52,-0.2977484,Prpf6,0.68917364,Srp72,-0.86753607,Pdzrn4,-0.074562296
Zc3h15,-0.23305039,Ptpra,0.18776949,Lztfl1,-0.2977484,Arfgap2,0.68905586,Zfp609,-0.8696247,1110051M20Rik,-0.075057596
Phf12,-0.23387298,Bhlhb9,0.18743117,Larp4,-0.29786393,Dis3l2,0.6880465,Morc2a,-0.8702031,Setd7,-0.075819604
Miip,-0.23448405,Ubp1,0.18700826,Arhgap42,-0.29803726,Pan3,0.6864989,Ptprt,-0.8709743,Cenpt,-0.076086305
Ak3,-0.2350246,Ptpn4,0.18624704,Reep5,-0.29826832,Tmtc2,0.6859101,Cep162,-0.8711992,Sec62,-0.07757222
Eif2b3,-0.23551816,Ralgps1,0.18622589,Adprhl2,-0.29896158,Sil1,0.67977,Wdr43,-0.8728219,B4galt6,-0.07848663
Cabin1,-0.23563567,Tnpo3,0.18442854,Lrch3,-0.30017474,Reep5,0.6793831,Rnd3,-0.8730147,Zfp1,-0.07890573
Galnt1,-0.2360117,Nosip,0.18409023,Rab3gap2,-0.30109906,Mzt1,0.6775326,Manbal,-0.87396264,Mpp5,-0.07898193
Bmp1,-0.23711632,Mat2a,0.17994577,Kntc1,-0.30190787,Afg3l2,0.67633826,Raf1,-0.87409115,Man1a,-0.07898193
Ints6,-0.23749237,Ski,0.17914225,Akap10,-0.3026589,Pacs2,0.67447096,Atf6,-0.87523186,Phax,-0.07902003
Lrrtm3,-0.23833846,Rabif,0.17810613,Aftph,-0.30352542,1110051M20Rik,0.6711234,Stxbp5,-0.87577814,Ranbp10,-0.08081075
Scyl2,-0.23833846,Srr,0.1780427,Fam193b,-0.30392984,Vti1a,0.6702486,Zfp398,-0.8770313,Stoml2,-0.08111555
Rngtt,-0.2388085,Tmem135,0.17671055,Myo9a,-0.30462307,Man2c1,0.66965985,Trap1,-0.8779471,Itpa,-0.08183946
Rasal2,-0.24113524,Cep68,0.17662597,Tmem183a,-0.3055474,Spock3,0.669357,Ankrd11,-0.8787825,Ddhd1,-0.08214425
Araf,-0.24129976,Cstf3,0.17637222,Arl5a,-0.30572072,Uqcrb,0.66584116,Sltm,-0.87968224,Tor1aip2,-0.08275386
Hif1a,-0.24212235,Phf8,0.17459603,Vps53,-0.30577847,Nup98,0.6648487,Ascc1,-0.88265455,Bach2,-0.083363466
Sf1,-0.2426864,Spen,0.16962689,Palld,-0.3072805,Tmcc1,0.66368794,Dennd6a,-0.88389164,Ccnh,-0.08397307
Uba1,-0.24292143,Rps27l,0.16812558,Ccnk,-0.3072805,Setd7,0.6539815,Nfxl1,-0.8880528,Fnbp4,-0.08431597
Uhrf1bp1l,-0.24332097,Sorbs1,0.16548243,Clk4,-0.30733827,Zfp799,0.65302265,Pex5l,-0.88813317,Rwdd4a,-0.08492558
Pvrl1,-0.24428457,Fbxw11,0.1652287,Ttc9c,-0.30814707,Pdxdc1,0.6524002,Rpl3,-0.8882938,Spock3,-0.08545898
Zdhhc13,-0.24520117,Fam73a,0.16501725,Cdk11b,-0.30820483,Zfp644,0.6521647,Med13l,-0.8907038,Prpf39,-0.08549708
Mettl2,-0.24524817,5031425E22Rik,0.16495381,Ints6,-0.30964908,Men1,0.64920396,Ppp1r12b,-0.8921337,Riok1,-0.08587809
Brwd3,-0.24541269,Tmem238,0.16070361,Dennd2a,-0.31011125,Pts,0.64918715,Abr,-0.89354753,Smc1a,-0.085916184
Crtc3,-0.24545969,Mycbp2,0.1585891,Cdc37l1,-0.31011125,Ppp2r5e,0.647404,Fam76b,-0.8945758,Rabif,-0.085916184
Orc2,-0.24766892,Fam188a,0.15668602,Metap2,-0.31011125,Fubp3,0.64257604,Adamtsl1,-0.89459187,Slc25a27,-0.08625909
Txlna,-0.24983115,Plekha6,0.15662259,Synrg,-0.31028455,Adam10,0.64062464,Rab3gap1,-0.89512205,Dlst,-0.0871354
Hspa4,-0.24985465,Yes1,0.15660144,Pik3ca,-0.3106312,Dyrk1a,0.6391443,Cdc5l,-0.8974195,Gps2,-0.087211594
Sp3,-0.25079474,Zc3h4,0.15476182,Osbpl11,-0.31074673,Yipf1,0.6352415,Palm,-0.89751595,Megf6,-0.0877831
Naa35,-0.2511238,Pgm2,0.15469837,Pls3,-0.31167105,Fbxo36,0.6331556,Bad,-0.8982389,Fastk,-0.088126004
Zfp141,-0.2520639,Psip1,0.15361997,Mprip,-0.31190214,Zfp654,0.63147336,Akap11,-0.9000865,Wdr61,-0.08843081
Rnf13,-0.25208738,Ybx3,0.1532605,Mocs2,-0.3119599,Hsf1,0.62785655,Scyl2,-0.9003436,Pde4d,-0.08862131
Alkbh1,-0.25380307,Bre,0.15203407,Ap2a2,-0.31213322,Lcor,0.62400424,Srgap1,-0.90137184,Tatdn1,-0.08873561
Plag1,-0.2540381,Mrpl23,0.14831252,Cactin,-0.3133464,Ccdc117,0.62383604,Fam76a,-0.9021912,Csnk2a1,-0.08926901
Bcl2l13,-0.2541086,Mical2,0.14594427,Plag1,-0.31351972,Eri3,0.62188464,Hsp90aa1,-0.90251255,Pdxdc1,-0.08961192
Eif4ebp2,-0.25448465,Arhgap12,0.14594427,Uba6,-0.31369302,Mbip,0.6148698,Reep5,-0.9029303,Tbc1d9b,-0.08987862
Ythdc1,-0.2550957,Plcl2,0.1455425,Tor1aip1,-0.3139241,Pggt1b,0.60691285,Pou2f1,-0.9053724,Fam172a,-0.09006912
Atp2a3,-0.25636482,Nol12,0.14547907,Pcmt1,-0.3140974,Fastk,0.6035652,Tmem127,-0.9064167,Ttc17,-0.090221524
Mipol1,-0.25765747,Kcnip1,0.14524646,Rpl7l1,-0.31444404,Cr1l,0.6035652,Psmf1,-0.9069148,Rnf10,-0.09052632
Nhlrc2,-0.25772798,Prr14l,0.14516188,Zfp408,-0.31444404,Tmem260,0.5995111,Large,-0.907461,Wdfy3,-0.09121213
Poldip3,-0.25817454,Clstn2,0.14323768,Heatr6,-0.3153106,Ints8,0.59848493,Arl13b,-0.9075253,Adk,-0.09235514
Tram1,-0.2589501,Pdk3,0.14199011,Ndufaf6,-0.3153106,Cryzl1,0.5971896,Slc10a7,-0.90897125,Cdc42bpb,-0.09250754
Jarid2,-0.25937316,Dgcr8,0.14158835,Rnf13,-0.31554165,Tbk1,0.59247935,Uri1,-0.9095657,Cox7b,-0.09265994
Srgap3,-0.26195842,Rufy1,0.13864917,Nfkb1,-0.31669706,Dnajc5,0.5915037,Chd2,-0.9098549,Mllt3,-0.09311714
Dcp1b,-0.26200542,Cnep1r1,0.13602716,Asb3,-0.317217,Pnn,0.58941776,Chm,-0.9120078,Ccdc90b,-0.09387915
Dis3l2,-0.26207593,Usp32,0.13503332,Senp5,-0.31744808,Apoa1bp,0.5891654,Prickle1,-0.9122649,Carkd,-0.09391725
Dcaf12,-0.2636506,Pacs2,0.13355316,Rb1cc1,-0.31750587,Phtf1,0.589014,Tango2,-0.91293967,Glb1,-0.09467926
Mfn1,-0.26529577,Cep162,0.13346858,Cacul1,-0.3186035,Uhrf2,0.5885093,R3hdm2,-0.91533357,Ankrd10,-0.094755456
Fam234a,-0.26538977,2610008E11Rik,0.13332057,3110082I17Rik,-0.31993222,Wdr33,0.5883243,Sirt5,-0.91565484,Bbs5,-0.09536506
Dennd1b,-0.26550728,Nme6,0.1327285,Ndfip2,-0.3203366,Dennd1a,0.5866084,Spata5,-0.91600835,Rnf167,-0.095403165
Ptpra,-0.26593032,Lcmt1,0.13192499,Naa16,-0.32045215,Fam208a,0.5866084,Acsl1,-0.9164903,Cr1l,-0.09586036
Msmo1,-0.267411,Cobll1,0.1318827,Cnep1r1,-0.32079875,Srebf2,0.58581775,Zfp110,-0.9185468,Fzd3,-0.09646997
Epb41l5,-0.2684451,Rfx2,0.13103688,Rps6kb1,-0.32224303,Btbd7,0.58536357,Fam117b,-0.92076397,Pogz,-0.09646997
Sorbs2,-0.26893866,Dennd1a,0.13014878,Dnm2,-0.32334065,Pmvk,0.58329445,Osbpl6,-0.9233185,Dzip3,-0.097079575
Clk1,-0.26992574,Cep290,0.12957786,Pde4dip,-0.32513154,Wipf2,0.58117485,Zbtb7c,-0.9235756,Mrpl54,-0.09807018
Tmcc1,-0.27011377,Ptk2b,0.12706159,Foxp2,-0.32530487,Map2k4,0.57950944,Prr14,-0.9241861,Dnaja1,-0.09818448
Svil,-0.27187645,Iqgap2,0.1232343,Spata24,-0.3254204,Cdk12,0.5763805,E330009J07Rik,-0.929247,3830406C13Rik,-0.09833688
Atp13a3,-0.27194697,Gmcl1,0.12230391,Acbd6,-0.32553592,Clns1a,0.57311696,Lars,-0.93209076,Abcg1,-0.09867979
Chkb,-0.27244052,Prdm2,0.12171184,Mxi1,-0.32588255,Igsf5,0.57119924,Ldlrad3,-0.93319935,Trim24,-0.1004324
Kptn,-0.27331012,Scyl2,0.12065458,Sqstm1,-0.32628694,Ptpn4,0.5701226,Rad23a,-0.93490237,Mark4,-0.100813404
Sfswap,-0.27427372,Npas3,0.12061229,Ppp1r9a,-0.32628694,Axin1,0.5697525,Lemd3,-0.9366215,Fmn2,-0.10088961
Osbpl8,-0.27486128,Epb41l1,0.11963961,Zfp710,-0.32634473,Sec23a,0.56680864,Sec13,-0.9372159,Pcca,-0.100965805
Gorasp2,-0.2761069,Nek1,0.117123336,H2afj,-0.32686466,Rab28,0.5610891,Snx13,-0.9374891,Fhit,-0.10115631
Tgs1,-0.27643594,Rev1,0.11657356,Wdr26,-0.3269802,Mob2,0.56002927,Erdr1,-0.9398669,Ino80,-0.10127061
Mpc1,-0.27671796,Kifap3,0.11553744,Itgb6,-0.32773122,Mon2,0.5577919,Uvrag,-0.9398669,Zbtb11,-0.10142301
Numb,-0.27763456,Ola1,0.11464935,Clybl,-0.32929102,Idh3b,0.5568835,Celf4,-0.9403007,Pank3,-0.10222311
Mapk9,-0.27826914,Eml1,0.11190046,Apbb2,-0.3299265,Tbck,0.55629474,Slc25a36,-0.94203585,Ttc8,-0.10222311
Cog1,-0.27838665,Msra,0.11122382,Phc2,-0.3308508,Nxn,0.5553695,Tspan9,-0.94216436,Rfx7,-0.10378523
Mpp7,-0.2817475,Ptk2,0.11105466,Lrch1,-0.3310819,Rnf20,0.55414146,Aspscr1,-0.94346577,Erbb2ip,-0.106261745
Filip1,-0.28195903,Urm1,0.11061061,Mef2a,-0.33177513,Caap1,0.5531153,Map4k5,-0.94346577,Fem1c,-0.10649035
Ubxn7,-0.28217053,Pum1,0.11010312,Nutf2,-0.33177513,Sec24c,0.5524929,Cd9,-0.94486356,Epb41l5,-0.106909454
Wdr41,-0.2826641,Cstb,0.10813662,Thoc1,-0.33194846,Larp1b,0.5522574,Ric8b,-0.9458436,Prkar2b,-0.107061855
Ppp2r3a,-0.28299314,Numb,0.106571876,Fgd6,-0.33200622,Vkorc1l1,0.5488257,Hacd3,-0.9462131,Dennd1a,-0.108204864
Pcgf6,-0.28332216,Myo9b,0.10631813,Peli1,-0.33206397,Mga,0.5484892,Mark2,-0.94804466,Cntrl,-0.10885257
Ralgps2,-0.2847793,Cog5,0.10468995,Tle3,-0.3326417,Fbxw7,0.546992,4932438A13Rik,-0.9501815,Osbpl6,-0.10896687
Ift22,-0.2855549,Fnbp4,0.104584225,Mfsd6,-0.33269945,Ipo8,0.5468238,Tbrg4,-0.951033,Nck2,-0.10896687
Maml2,-0.28600144,Ptgr2,0.103611544,Skap1,-0.33287278,Taldo1,0.54389673,4930453N24Rik,-0.95239866,Cinp,-0.10923357
Epc1,-0.286542,Vti1a,0.10183535,Maml2,-0.33350825,Xpo6,0.5419117,Afg3l2,-0.9527361,Rbm8a,-0.109766975
Pacs2,-0.28722358,Hmgxb3,0.10077809,Uap1,-0.33373934,Zfp280c,0.53876597,Mical3,-0.9535876,Serf1,-0.11045278
Itgav,-0.28764662,Ddhd1,0.099234484,Slc4a4,-0.33460587,Gopc,0.5357716,Gpatch2,-0.9547122,4933434E20Rik,-0.110567085
Mvk,-0.28868073,Mmadhc,0.099107616,Fnbp4,-0.33472142,Drg1,0.53249127,Fyco1,-0.9572507,Snupn,-0.111329086
Usp36,-0.28936228,Zfp664,0.09811379,Mipol1,-0.33506805,Atrnl1,0.531953,Cstf3,-0.9573471,Mfsd6,-0.112243496
AI846148,-0.2897148,Sfr1,0.09792348,Dpysl5,-0.3362812,Ccdc112,0.5294969,Gbf1,-0.957813,Brpf3,-0.1129674
Ngdn,-0.28976184,Xrcc6,0.097352564,Ppp1r21,-0.33778325,Rfwd3,0.52852124,Brd1,-0.96009445,Vrk3,-0.1135008
Fam193b,-0.29074892,Sec61a2,0.09437109,Wdr41,-0.33784103,Itpr3,0.5237437,Ralgapb,-0.9606086,Ptprt,-0.114300914
Gid8,-0.29128948,Rrnad1,0.091453046,Polr3d,-0.33841872,Gmcl1,0.5218596,Dennd1a,-0.96181357,Tceanc2,-0.11452951
Acyp2,-0.2934282,Cbwd1,0.09124159,Cdc25c,-0.33951637,Ncoa5,0.52046335,Specc1l,-0.9636773,Mast4,-0.114948615
Zadh2,-0.2942038,Ube3b,0.09001517,Mettl16,-0.3402674,Zfc3h1,0.5192017,Ptprg,-0.9641432,Uty,-0.115482025
Ttc17,-0.2943213,Abcc5,0.08804867,Fam53a,-0.3403829,Srp19,0.51841104,Auh,-0.9645127,Cuedc1,-0.11620593
Nup98,-0.29479137,Rac1,0.087625764,Gle1,-0.34055623,Dzip3,0.51605594,Mecom,-0.9676778,Lias,-0.11654883
Aven,-0.29761165,Cox20,0.087160565,Gpc6,-0.340614,Fam53a,0.5147774,Poc1b,-0.969413,Ctps2,-0.11826334
Nufip2,-0.29772916,Slc9a1,0.08580727,Plppr1,-0.340614,Ccdc50,0.51245594,Fam208b,-0.9713891,Ppm1b,-0.11894915
Agap3,-0.29897478,Mrpl42,0.084179096,Uhrf1bp1l,-0.34096062,Csnk2a2,0.51206905,Zfand2b,-0.9724495,Zfp292,-0.119101554
Sash1,-0.29937434,Scaf4,0.07980204,Thra,-0.3415961,Surf1,0.51168215,Sep15,-0.9742168,C530008M17Rik,-0.11917775
Agps,-0.29949185,Arl13b,0.07978089,Bin3,-0.34165385,Wdr61,0.5104541,Gria3,-0.9764661,Ptpn12,-0.12253058
Zcchc8,-0.30033794,Ints2,0.07893508,Usp15,-0.34228933,Ube2f,0.50769526,Alg14,-0.9772855,Nfkbiz,-0.12306398
Tceanc2,-0.300996,Traf3ip2,0.078787066,Ncapg2,-0.34234712,Kat2b,0.5071233,Amotl1,-0.9778157,Fam149b,-0.123102084
Fnbp4,-0.30158356,Rrn3,0.0786179,Esd,-0.34240487,Zfp608,0.5052224,Camk2d,-0.9802899,Malsu1,-0.12317828
Rcc2,-0.30308774,Nadk,0.07745492,Nck2,-0.3444846,Tmem107,0.5041458,Borcs5,-0.98167163,Mre11a,-0.1248166
Ugt8a,-0.3037458,Fam13b,0.07692628,Ambp,-0.34500456,Osbpl11,0.50296825,Ate1,-0.9828284,Appl2,-0.1252738
Dnm2,-0.30407482,Atrnl1,0.07673598,Miip,-0.34506232,Scaf1,0.500344,Abcc5,-0.988789,Arid4b,-0.12576911
1110038F14Rik,-0.30438036,Zfp949,0.07673598,Gart,-0.34558225,Tmem164,0.49687856,Zfp787,-0.989994,Rptor,-0.13133174
Dock7,-0.30597854,Park2,0.07612277,Samd4b,-0.3458711,Tasp1,0.49570101,Ankib1,-0.9919862,Anks3,-0.13140795
Wdtc1,-0.30628407,Rragb,0.075869024,Dnlz,-0.34615996,Azi2,0.4948767,Prkdc,-0.9942034,Dgcr8,-0.13194135
Cse1l,-0.3067306,Prpf39,0.074452296,Arhgef10l,-0.34621772,Mical3,0.4941702,Rbm34,-0.997015,Msto1,-0.13209376
Snx24,-0.30741218,Tnks,0.07405054,Rnf38,-0.34633327,Acin1,0.4930431,Ror1,-0.99764156,Smn1,-0.13232236
Btbd11,-0.3076237,Ptprm,0.07199945,Fam174b,-0.3464488,Tbc1d12,0.48804688,Synj1,-0.9978665,Taf8,-0.13266526
Bckdk,-0.30783522,Mprip,0.071639985,Map2,-0.34673765,Atxn7,0.48742446,Miip,-0.997979,Cpd,-0.13297006
Med26,-0.3086108,Dazap2,0.07115364,Rbm6,-0.34679544,Ltv1,0.48634785,Pcdh9,-0.9992161,Sh3d19,-0.13396066
Efna5,-0.31063202,Ccdc88a,0.068404764,Lyrm4,-0.34691095,Usp5,0.48587683,Erc1,-1.0004853,Dnajc1,-0.13415118
Zyx,-0.31110206,Faf1,0.068045296,Amd1,-0.34691095,AI314180,0.48473293,Bicd1,-1.0029596,Btaf1,-0.13426547
Cadps2,-0.31168962,Rpf2,0.06700918,Hspbp1,-0.34696874,Eif2s2,0.4832694,Slc9a1,-1.0048715,Ralgps2,-0.13495128
Cdk11b,-0.3122067,Tbc1d19,0.06588849,Fam98a,-0.34708428,Gpatch8,0.48232734,Fam98a,-1.0050321,Cyb561d2,-0.13658959
Pou2f1,-0.31305277,Rbm5,0.06428145,Pacs2,-0.34760422,Tmem127,0.48141894,Ambra1,-1.0058515,Usp8,-0.136742
Atg5,-0.3132408,Primpol,0.064218014,Spidr,-0.3478353,Aftph,0.4781554,Rapgef6,-1.0064138,Fam188a,-0.1370087
Tmem242,-0.31349933,Trappc12,0.063012734,Slc9a1,-0.34806636,Kif13a,0.4769947,Dennd4c,-1.0065584,Kpna3,-0.13712299
Arhgap12,-0.31928092,Rnf169,0.061426844,Ccdc18,-0.34829745,Tmem245,0.4767087,Thtpa,-1.0074903,Tbc1d5,-0.1379231
Emsy,-0.31963345,Ercc6l2,0.06039073,Gtpbp1,-0.348413,Btbd9,0.47363022,Usp9x,-1.007683,Trim27,-0.1380755
Noct,-0.32045606,Pign,0.059396904,Dnajc13,-0.34922177,Hmgxb3,0.47236857,Kpna3,-1.0081168,Ccnt2,-0.14005671
Casc4,-0.3211376,Fam193b,0.059185453,Nudt3,-0.3493373,Rnf185,0.46841535,Celsr1,-1.009836,2310061I04Rik,-0.14013292
Zdhhc2,-0.3229473,Spata7,0.058720257,P4ha1,-0.34945285,Mprip,0.46797797,Mitd1,-1.0101252,Filip1,-0.14020912
Akt1,-0.32322934,Zfp532,0.05781101,Dync1li1,-0.34991503,Cog5,0.4652023,Tstd2,-1.0104144,Arhgap21,-0.14097112
Znhit6,-0.32543856,Wdr1,0.057684142,Snx13,-0.35008833,Acsl1,0.4646135,Palld,-1.0158126,Ipo9,-0.14226654
Dram2,-0.3257441,Sec23a,0.05681719,Ubxn2b,-0.35049272,Exoc6,0.4643612,Dyrk1a,-1.0165999,Dock7,-0.14287615
